Sat Nov 16 20:18:07 2024    profile_results.prof

         73614 function calls (73516 primitive calls) in 797.664 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.010    0.010  797.664  797.664 .\chat_detection.py:235(main)
        1    0.000    0.000  765.557  765.557 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\subprocess.py:447(run)
        1    0.000    0.000  765.519  765.519 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\subprocess.py:920(communicate)
        1    0.000    0.000  765.519  765.519 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\subprocess.py:1014(wait)
        2    0.000    0.000  765.519  382.759 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\subprocess.py:1250(_wait)
        5  765.519  153.104  765.519  153.104 {built-in method _winapi.WaitForSingleObject}
        2    0.000    0.000   21.479   10.740 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\queues.py:91(get)
        2    0.000    0.000   21.189   10.595 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\connection.py:208(recv_bytes)
        2    0.002    0.001   21.189   10.595 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\connection.py:294(_recv_bytes)
        2   21.184   10.592   21.184   10.592 {built-in method _winapi.WaitForMultipleObjects}
        1    0.000    0.000    6.502    6.502 .\chat_detection.py:11(init_opencl)
        1    6.455    6.455    6.455    6.455 {built-in method getDefault}
        2    0.000    0.000    3.684    1.842 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\process.py:101(start)
        2    0.000    0.000    3.684    1.842 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\context.py:221(_Popen)
        2    0.000    0.000    3.684    1.842 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\context.py:319(_Popen)
        2    0.001    0.000    3.666    1.833 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\popen_spawn_win32.py:45(__init__)
